epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,112.801,0.7604,1.00397,1.29747,0.80866,0.48333,0.54411,0.25194,1.7382,1.96644,1.43414,2.92003e-05,2.92003e-05,2.92003e-05
61,114.53,0.60646,0.67977,1.06691,0.80866,0.48333,0.54411,0.25194,1.7382,1.96644,1.43414,2.89884e-05,2.89884e-05,2.89884e-05
62,116.118,0.77276,0.92591,1.30063,0.80866,0.48333,0.54411,0.25194,1.7382,1.96644,1.43414,2.87529e-05,2.87529e-05,2.87529e-05
63,117.699,0.66322,0.84147,1.15871,0.83931,0.48333,0.54177,0.26653,1.73206,1.97572,1.4311,2.84938e-05,2.84938e-05,2.84938e-05
64,118.952,0.79491,0.77549,1.08358,0.83931,0.48333,0.54177,0.26653,1.73206,1.97572,1.4311,2.82112e-05,2.82112e-05,2.82112e-05
65,120.224,0.60549,0.70043,1.03899,0.83931,0.48333,0.54177,0.26653,1.73206,1.97572,1.4311,2.7905e-05,2.7905e-05,2.7905e-05
66,121.894,0.91847,1.92327,1.31558,0.82389,0.48333,0.52173,0.24566,1.74117,2.02399,1.43702,2.75753e-05,2.75753e-05,2.75753e-05
67,123.523,0.76636,0.92668,1.18558,0.82389,0.48333,0.52173,0.24566,1.74117,2.02399,1.43702,2.7222e-05,2.7222e-05,2.7222e-05
68,125.219,0.65136,0.7769,1.03891,0.82389,0.48333,0.52173,0.24566,1.74117,2.02399,1.43702,2.68451e-05,2.68451e-05,2.68451e-05
69,126.979,0.72907,0.74552,1.26712,0.82048,0.48333,0.52186,0.26474,1.76589,2.05909,1.43938,2.64447e-05,2.64447e-05,2.64447e-05
70,128.654,1.01586,1.11608,1.45605,0.82048,0.48333,0.52186,0.26474,1.76589,2.05909,1.43938,2.60207e-05,2.60207e-05,2.60207e-05
71,130.406,0.68126,0.70015,1.15341,0.82048,0.48333,0.52186,0.26474,1.76589,2.05909,1.43938,2.55731e-05,2.55731e-05,2.55731e-05
72,131.996,0.61201,0.92693,1.15029,0.79453,0.48333,0.52072,0.25262,1.80381,2.0806,1.4591,2.5102e-05,2.5102e-05,2.5102e-05
73,133.549,0.54443,0.59611,1.089,0.79453,0.48333,0.52072,0.25262,1.80381,2.0806,1.4591,2.46073e-05,2.46073e-05,2.46073e-05
74,135.521,1.04805,1.89621,1.46769,0.79453,0.48333,0.52072,0.25262,1.80381,2.0806,1.4591,2.40891e-05,2.40891e-05,2.40891e-05
75,137.184,0.96291,0.89937,1.24418,0.82607,0.48333,0.51942,0.26561,1.80753,2.08639,1.45449,2.35472e-05,2.35472e-05,2.35472e-05
76,138.798,0.90807,0.90685,1.33327,0.82607,0.48333,0.51942,0.26561,1.80753,2.08639,1.45449,2.29819e-05,2.29819e-05,2.29819e-05
77,140.745,0.64467,0.62666,1.03458,0.82607,0.48333,0.51942,0.26561,1.80753,2.08639,1.45449,2.23929e-05,2.23929e-05,2.23929e-05
78,143.217,0.66167,1.01377,1.12608,0.83987,0.48333,0.51502,0.26172,1.82318,2.11949,1.46075,2.17805e-05,2.17805e-05,2.17805e-05
79,145.187,0.8713,1.37395,1.33331,0.83987,0.48333,0.51502,0.26172,1.82318,2.11949,1.46075,2.11444e-05,2.11444e-05,2.11444e-05
80,146.32,0.63072,0.59925,1.12328,0.83987,0.48333,0.51502,0.26172,1.82318,2.11949,1.46075,2.04848e-05,2.04848e-05,2.04848e-05
81,147.3,0.75998,0.78743,1.08666,0.83657,0.46538,0.51883,0.26594,1.7937,2.11522,1.45155,1.98016e-05,1.98016e-05,1.98016e-05
82,148.202,0.44339,0.44214,0.93902,0.83657,0.46538,0.51883,0.26594,1.7937,2.11522,1.45155,1.90949e-05,1.90949e-05,1.90949e-05
83,148.891,0.69288,0.76596,1.04724,0.83657,0.46538,0.51883,0.26594,1.7937,2.11522,1.45155,1.83646e-05,1.83646e-05,1.83646e-05
84,149.758,0.80106,1.31479,1.25308,0.84875,0.46388,0.51174,0.26158,1.75679,2.16744,1.43871,1.76107e-05,1.76107e-05,1.76107e-05
85,150.755,0.62087,0.72113,1.17444,0.84875,0.46388,0.51174,0.26158,1.75679,2.16744,1.43871,1.68333e-05,1.68333e-05,1.68333e-05
86,151.59,0.62268,0.87328,1.14708,0.84875,0.46388,0.51174,0.26158,1.75679,2.16744,1.43871,1.60323e-05,1.60323e-05,1.60323e-05
87,152.378,0.59707,0.65161,1.10159,0.84875,0.46388,0.51174,0.26158,1.75679,2.16744,1.43871,1.52077e-05,1.52077e-05,1.52077e-05
88,153.13,0.70854,0.98424,1.10944,0.80453,0.45,0.50821,0.26646,1.79638,2.20694,1.46435,1.43596e-05,1.43596e-05,1.43596e-05
89,153.769,0.66604,0.77298,1.16279,0.80453,0.45,0.50821,0.26646,1.79638,2.20694,1.46435,1.34879e-05,1.34879e-05,1.34879e-05
90,154.576,0.78832,0.70064,1.09234,0.80453,0.45,0.50821,0.26646,1.79638,2.20694,1.46435,1.25927e-05,1.25927e-05,1.25927e-05
91,172.725,0.57504,0.53045,1.05451,0.80453,0.45,0.50821,0.26646,1.79638,2.20694,1.46435,1.16739e-05,1.16739e-05,1.16739e-05
92,175.307,0.45513,0.48283,0.85291,0.8414,0.46507,0.50966,0.25647,1.85451,2.20641,1.49171,1.07315e-05,1.07315e-05,1.07315e-05
93,176.759,0.45348,0.48098,0.95305,0.8414,0.46507,0.50966,0.25647,1.85451,2.20641,1.49171,9.76562e-06,9.76562e-06,9.76562e-06
94,178.073,0.61359,0.63316,1.11329,0.8414,0.46507,0.50966,0.25647,1.85451,2.20641,1.49171,8.77613e-06,8.77613e-06,8.77613e-06
95,179.355,0.55944,0.65349,1.06838,0.8414,0.46507,0.50966,0.25647,1.85451,2.20641,1.49171,7.76308e-06,7.76308e-06,7.76308e-06
96,180.477,0.82499,0.80096,1.20901,0.85214,0.46317,0.51684,0.26484,1.80245,2.08869,1.45957,6.72648e-06,6.72648e-06,6.72648e-06
97,181.279,0.5133,0.4729,0.89678,0.85214,0.46317,0.51684,0.26484,1.80245,2.08869,1.45957,5.6663e-06,5.6663e-06,5.6663e-06
98,182.041,0.53408,0.59771,1.00129,0.85214,0.46317,0.51684,0.26484,1.80245,2.08869,1.45957,4.58257e-06,4.58257e-06,4.58257e-06
99,182.781,0.55938,0.50495,0.97969,0.85214,0.46317,0.51684,0.26484,1.80245,2.08869,1.45957,3.47528e-06,3.47528e-06,3.47528e-06
100,183.538,0.44757,0.42503,0.93514,0.85433,0.46123,0.52865,0.2824,1.78933,1.97546,1.44847,2.34442e-06,2.34442e-06,2.34442e-06
